date,Wk,
2010-12-01,DEC Wk 1,48
2010-12-02,DEC Wk 1,48
2010-12-03,DEC Wk 1,48
2010-12-04,DEC Wk 1,48
2010-12-05,DEC Wk 2,49
2010-12-06,DEC Wk 2,49
2010-12-07,DEC Wk 2,49
2010-12-08,DEC Wk 2,49
2010-12-09,DEC Wk 2,49
2010-12-10,DEC Wk 2,49
2010-12-11,DEC Wk 2,49
2010-12-12,DEC Wk 3,50
2010-12-13,DEC Wk 3,50
2010-12-14,DEC Wk 3,50
2010-12-15,DEC Wk 3,50
2010-12-16,DEC Wk 3,50
2010-12-17,DEC Wk 3,50
2010-12-18,DEC Wk 3,50
2010-12-19,DEC Wk 4,51
2010-12-20,DEC Wk 4,51
2010-12-21,DEC Wk 4,51
2010-12-22,DEC Wk 4,51
2010-12-23,DEC Wk 4,51
2010-12-24,DEC Wk 4,51
2010-12-25,DEC Wk 4,51
2010-12-26,DEC Wk 5,52
2010-12-27,DEC Wk 5,52
2010-12-28,DEC Wk 5,52
2010-12-29,DEC Wk 5,52
2010-12-30,DEC Wk 5,52
2010-12-31,DEC Wk 5,52
2011-01-01,DEC Wk 5,52
2011-01-02,JAN Wk 1,1
2011-01-03,JAN Wk 1,1
2011-01-04,JAN Wk 1,1
2011-01-05,JAN Wk 1,1
2011-01-06,JAN Wk 1,1
2011-01-07,JAN Wk 1,1
2011-01-08,JAN Wk 1,1
2011-01-09,JAN Wk 2,2
2011-01-10,JAN Wk 2,2
2011-01-11,JAN Wk 2,2
2011-01-12,JAN Wk 2,2
2011-01-13,JAN Wk 2,2
2011-01-14,JAN Wk 2,2
2011-01-15,JAN Wk 2,2
2011-01-16,JAN Wk 3,3
2011-01-17,JAN Wk 3,3
2011-01-18,JAN Wk 3,3
2011-01-19,JAN Wk 3,3
2011-01-20,JAN Wk 3,3
2011-01-21,JAN Wk 3,3
2011-01-22,JAN Wk 3,3
2011-01-23,JAN Wk 4,4
2011-01-24,JAN Wk 4,4
2011-01-25,JAN Wk 4,4
2011-01-26,JAN Wk 4,4
2011-01-27,JAN Wk 4,4
2011-01-28,JAN Wk 4,4
2011-01-29,JAN Wk 4,4
2011-01-30,JAN Wk 1,5
2011-01-31,JAN Wk 1,5
2011-02-01,FEB Wk 1,5
2011-02-02,FEB Wk 1,5
2011-02-03,FEB Wk 1,5
2011-02-04,FEB Wk 1,5
2011-02-05,FEB Wk 1,5
2011-02-06,FEB Wk 2,6
2011-02-07,FEB Wk 2,6
2011-02-08,FEB Wk 2,6
2011-02-09,FEB Wk 2,6
2011-02-10,FEB Wk 2,6
2011-02-11,FEB Wk 2,6
2011-02-12,FEB Wk 2,6
2011-02-13,FEB Wk 3,7
2011-02-14,FEB Wk 3,7
2011-02-15,FEB Wk 3,7
2011-02-16,FEB Wk 3,7
2011-02-17,FEB Wk 3,7
2011-02-18,FEB Wk 3,7
2011-02-19,FEB Wk 3,7
2011-02-20,FEB Wk 4,8
2011-02-21,FEB Wk 4,8
2011-02-22,FEB Wk 4,8
2011-02-23,FEB Wk 4,8
2011-02-24,FEB Wk 4,8
2011-02-25,FEB Wk 4,8
2011-02-26,FEB Wk 4,8
2011-02-27,FEB Wk 1,9
2011-02-28,FEB Wk 1,9
