StockCode,Unit_Price,Price_Flag,Num_of_Pr,Ever_Marked
10002,1.66,Reg_Price,4,Marked
10002,1.63,MD,4,Marked
10002,0.85,MD,4,Marked
10002,0,MD,4,Marked
10080,0.85,Reg_Price,3,Marked
10080,0.39,MD,3,Marked
10080,0,MD,3,Marked
10120,0.21,Reg_Price,1,Always_Reg
10125,1.66,Reg_Price,6,Marked
10125,1.63,MD,6,Marked
10125,0.85,MD,6,Marked
10125,0.81,MD,6,Marked
10125,0.79,MD,6,Marked
10125,0.42,MD,6,Marked
10133,1.66,Reg_Price,8,Marked
10133,1.63,MD,8,Marked
10133,0.85,MD,8,Marked
10133,0.83,MD,8,Marked
10133,0.81,MD,8,Marked
10133,0.79,MD,8,Marked
10133,0.42,MD,8,Marked
10133,0,MD,8,Marked
10134,0,Reg_Price,1,Always_Reg
10135,2.51,Reg_Price,7,Marked
10135,2.46,MD,7,Marked
10135,1.28,MD,7,Marked
10135,1.25,MD,7,Marked
10135,1.06,MD,7,Marked
10135,0.42,MD,7,Marked
10135,0.25,MD,7,Marked
11001,3.36,Reg_Price,5,Marked
11001,3.29,MD,5,Marked
11001,1.69,MD,5,Marked
11001,1.27,MD,5,Marked
11001,0.83,MD,5,Marked
15030,0.29,Reg_Price,2,Marked
15030,0,MD,2,Marked
15034,0.85,Reg_Price,4,Marked
15034,0.83,MD,4,Marked
15034,0.14,MD,4,Marked
15034,0.07,MD,4,Marked
15036,1.63,Reg_Price,9,Marked
15036,1.28,MD,9,Marked
15036,1.25,MD,9,Marked
15036,0.83,MD,9,Marked
15036,0.75,MD,9,Marked
15036,0.72,MD,9,Marked
15036,0.65,MD,9,Marked
15036,0.53,MD,9,Marked
15036,0,MD,9,Marked
15039,1.66,Reg_Price,4,Marked
15039,1.63,MD,4,Marked
15039,0.85,MD,4,Marked
15039,0.53,MD,4,Marked
16008,0.25,Reg_Price,4,Marked
16008,0.12,MD,4,Marked
16008,0.08,MD,4,Marked
16008,0,MD,4,Marked
16010,0.12,Reg_Price,2,Marked
16010,0,MD,2,Marked
16011,0.21,Reg_Price,1,Always_Reg
16012,0.21,Reg_Price,1,Always_Reg
16014,0.42,Reg_Price,2,Marked
16014,0.32,MD,2,Marked
16015,0.5,Reg_Price,3,Marked
16015,0.36,MD,3,Marked
16015,0,MD,3,Marked
16016,0.85,Reg_Price,2,Marked
16016,0.72,MD,2,Marked
16033,0.12,Reg_Price,2,Marked
16033,0,MD,2,Marked
16043,0.12,Reg_Price,2,Marked
16043,0,MD,2,Marked
16045,0.12,Reg_Price,3,Marked
16045,0.04,MD,3,Marked
16045,0,MD,3,Marked
16046,0.85,Reg_Price,2,Marked
16046,0,MD,2,Marked
16048,0.85,Reg_Price,4,Marked
16048,0.83,MD,4,Marked
16048,0.42,MD,4,Marked
16048,0.12,MD,4,Marked
16049,0.42,Reg_Price,3,Marked
16049,0.12,MD,3,Marked
16049,0,MD,3,Marked
16052,0.84,Reg_Price,5,Marked
16052,0.83,MD,5,Marked
16052,0.42,MD,5,Marked
16052,0.19,MD,5,Marked
16052,0,MD,5,Marked
16053,0,Reg_Price,1,Always_Reg
